"City of Residence, current","Country of Residence, current",Gender,Latest education status,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
"Bicol, Philippines",Philippines,Male,College degree,"Coursera, Datacamp",Education,Student/ New grad/ Career Break,/,NONE,,/,. ,. ,.,None,None,_, ,not applicable,none,/, _, _,none,-,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord, Notion","Python, SQL","Chatgpt, Copilot", _,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Datasense Philippines,/,"Answer surveys, Coordinate during events, Volunteer for group initiatives",_,. ,Local employer,31
"Cairo, Egypt",Egypt,Male,Master's degree,"Codecademy, Coursera",Energy,Freelance, ,Cairo,"25,001 to 35,000",Full-time,Hybrid,Academic,Developer,2 to 3,,Dataform,,,na, _,not applicable, ,None,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive","Python, R","Claude, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","[Manila] BIG DATA Tech Group, Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, Data Science Manila, Data Science Philippines, DEVCON Community Group, Eskwelabs Data Science Aral-Aral Group, Project SPARTA, Python Philippines","Career advancement, Decision to shift","Connect with sponsors, Mentor",No,"LinkedIn, Fiverr",Academe,41
"Lucena City, Quezon Province",Philippines,Male,College degree,"Coursera, Datacamp",Not working,Career shifter,Work city different from residence,Unemployed,"15,000 and below",Other - specify,Unemployed,Unemployed,Unemployed,1 - Just me,not applicable,. ,not applicable,None,NONE,ACL,Great Expectations,,Amazon Web Services (AWS),na,"Google sheets, Excel, Google Drive, Zoom, Google Meet, Discord","Javascript, Python, R",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.", ,"Analytics Association of the Philippines, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, DevOps Philippines, Eskwelabs Data Science Aral-Aral Group, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,"Organize post by adding tags for Job post, learnings, etc.",LinkedIn,_,32
Baliwag City,Philippines,Female,College degree,"Cisco, Datacamp, Kaggle Online course, W3Schools",Construction,Student/ New grad/ Career Break,/,not applicable,,., ,/,_,none,NONE,na,None,.,NONE,_,not applicable,na,-, ,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Claude","Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Analytics Association of the Philippines, Data Analytics Philippines, Data and Analytics Manila, DEVCON Community Group, DEVCON Philippines, Java User Group Philippines, Python Philippines, WiTech",na,Answer surveys,.,na,/,22
"Taguig, Philippines",Philippines,LGBTQ+,Other - specify,"Coursera, IBM Skills Gateway, Oracle University","IT, BPO, and Business Services",Student/ New grad/ Career Break, _,None,, _, _,not applicable, _, _,-,. ,,"Don't know, dbt cloud? ",na,None,None,not applicable,-,_,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord", _,Copilot,IBM Watson Studio,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","DataScience.PH, Power BI Philippines UG","Career advancement, Decision to shift, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",none as of the moment,-,Multinational employer,32
"Taguig, Philippines",Philippines,Male,College degree,Udemy,Healthcare,Professional,Work city different from residence,Melbourne,"75,001 to 85,000",Full-time,Mostly work from home/ fully remote,Reports,Reports,4 to 5, ,not applicable, , ,Power BI,na, _,., _,NONE,"Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams",Appscript (Google),Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives","Keep going, you are doing wonderful!",LinkedIn,none,45
"Mandaluyong, Philippines",Philippines,Male,College degree,Datacamp,Tourism,Professional,Work city same as residence,Quezon City,"55,001 to 65,000",Full-time,Hybrid,Production Support and Developer,"Developer, Production Support",1 - Just me,,"Pandas, dbt",,,"Apache Superset, Looker, Power BI, Tableau",,dbt,dbt,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",Oracle Database,"Excel, Google Drive, OneDrive, Trello, MS Teams, Discord",.,Chatgpt,na,desktop,"No, I just found out now.","No, I just browsed through.","AI Pilipinas, AIM-Master of Science in Data Science, Data Analytics Philippines, Data Ethics PH, Data Science Philippines Discussion Group (Moderated), DataSpark - Manila Meetups, DevOps Philippines, Digital Analytics Philippines, Eskwelabs Data Science Aral-Aral Group, Power Apps Pilipinas Community, Power BI Philippines UG, Project SPARTA, PyData Philippines, Python Philippines, Women Who Code Manila","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Volunteer for group initiatives",None for now,Udemy,Local employer,45
"San Jose del Monte, Philippines",Philippines,LGBTQ+,Other - specify,"AWS Cloud Certification, Datacamp, W3Schools",Government research agency,Career shifter,Work city same as residence,Pasig City,"15,000 and below",Full-time,100% onsite,Data Analyst,Data Analyst,1 - Just me,Don't know,Don't know,Don't know,Don't know,Power BI,,Don't know,Don't know,,"Elasticsearch, Oracle Database","Google sheets, Excel, Monday.com, MS Teams","Python, SQL","Chatgpt, Copilot, Gemini, Julius","PythonAnywhere Jupyter Notebook, Visual Code",laptop,"No, I just found out now.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, Data Analytics Philippines, Data Science Manila, Datasense Philippines, Power Apps Pilipinas Community, Power BI Philippines UG, Power BI Users Meetup, PyData Philippines, Python Philippines, R User Group - Philippines",Just curious ,Answer surveys,,"LinkedIn, Jobstreet", ,21
"Quezon City, Philippines",Philippines,LGBTQ+,Master's degree,"Coursera, Datacamp, edX, Freecodecamp, Kaggle Online course, LeetCode, W3Schools, Youtube bootcamp",Telecommunication,Career shifter,Work city same as residence,N.A,"a.100,001 to 125,000",Internship,Mostly work from home/ fully remote,N.A,N.A,2 to 3,"Don't know, Not needed in my current role",N.A,N.A,Dolphin Scheduler,N.A,Power Query,Stata and Pentaho Data Integration,,,N.A, ,not applicable,NONE,"Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",. ,"Career advancement, Upskill / Skill acquisition",Answer surveys,.,"LinkedIn, Indeed",Local employer,23
Baguio City,Philippines,Male,College degree,"AWS Cloud Certification, Coursera, Freecodecamp, Google Cloudskills Boost, IBM Skills Gateway, Kaggle Online course, Khan Academy, LeetCode, LinkedIn Learning, MicrosoftLearn, Udemy, W3Schools, Youtube bootcamp, Zoomcamp",Accounting,Student/ New grad/ Career Break, , _,,none,none,NONE,not applicable,/, ,. ,/,none,None, , ,na,none,not applicable,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack, Discord","Python, R, SQL","Chatgpt, Claude, Copilot, Gemini, Github copilot","Kaggle Notebooks, Colab Notebooks, IBM Watson Studio",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","DEVCON Community Group, DEVCON Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Lead a study group, Resource for specific topic, Co-training/ Training",. ,-,/,23
"Bukit Batok, Singapore",Singapore,LGBTQ+,College degree,"Kaggle Online course, Udemy",Education,Student/ New grad/ Career Break,NONE,-,,na,_, _,none,NONE,. ,na, _,. ,-,., _,_, _,none,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Slack, Discord",Python,"Chatgpt, Copilot",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), Datasense Philippines, Programmers,Developers, Python Philippines","Continued learning, Upskill / Skill acquisition, Network","Joint initiative with other groups, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",I am not sure but having regular online events might boost the engagement and participation of the members on all existing communication channels that the group has., ,Multinational employer,23
"Manila, Philippines",Philippines,Female,College degree,"Coursera, Freecodecamp, HackerRank, Kaggle Online course, LeetCode, W3Schools",Not working,Student/ New grad/ Career Break,not applicable, ,,None,na,-,-,not applicable, _,not applicable,not applicable,-, _,none,., _, _,. ,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","DAX (Power BI), Javascript, M language (Power Query), Python, SQL, Tableau","Chatgpt, Copilot, Gemini, Github copilot","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, FTW Foundation, Power Apps Pilipinas Community","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Co-training/ Training",_,na,_,26
"Makati, Philippines",Philippines,Male,Secondary school student,Just google,"IT, BPO, and Business Services",Professional,Work city different from residence,Wfh. Makati,,Full-time,Mostly work from home/ fully remote,Developer,Software Engineer,6 to 10,Airbyte,Google's BigQuery,Big Query,Don't know,Looker,,,,Google Cloud Platform (GCP),None,"Google sheets, Google Drive, Google Meet, Slack","Javascript, Python, SQL, Typescript, Golang",Claude,"Colab Notebooks, Databricks Collaborative Notebooks",laptop,"No, I just found out now.","No, I just browsed through.",.,"Continued learning, Decision to shift, Upskill / Skill acquisition",.,_,Toptal,Multinational employer,43
"Antipolo City, Philippines",Philippines,Male,College degree,Udemy,"IT, BPO, and Business Services",Student/ New grad/ Career Break,. ,. ,, ,. ,/,none,-,Don't know, _,NONE,., ,.,not applicable,None,not applicable,-,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Slack, Discord",. ,"Chatgpt, Gemini, Perplexity","Kaggle Notebooks, Colab Notebooks",laptop,"No, I just found out now.","No, I just browsed through.",Community: SPARTA PH,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Volunteer for group initiatives",,none,Local employer,26
"Pasig, Philippines",Philippines,LGBTQ+,College degree,"IBM Skills Gateway, LinkedIn Learning",Not working,Student/ New grad/ Career Break,.,.,, _, ,.,None,na,.,none, ,.,. ,/,None,,,-,"Google sheets, Excel, Google Drive, OneDrive, Trello, Zoom, MS Teams, Google Meet, Discord","Javascript, Python","Chatgpt, Claude, Gemini, Perplexity",not applicable,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",.,Upskill / Skill acquisition,"Answer surveys, Connect with sponsors, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",,None, _,22
"Quezon City, Philippines",Philippines,Female,College degree,Not currently using any digital tools for learning,Healthcare,Student/ New grad/ Career Break,., ,,/, ,NONE,na,. ,na,.,na,/,None,-,None, ,., _,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",.,"Chatgpt, Copilot",None,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Upskill / Skill acquisition",Answer surveys, _,not applicable,N.A,24
.. ,Egypt,Male,Secondary school student,Datacamp,Social Welfare and Development,Student/ New grad/ Career Break,na,-,,-,.,na,not applicable,not applicable,. , _,_,not applicable,na,NONE,_,not applicable,-, _,"Google sheets, Excel, Google Drive, Trello, Google Meet, Discord",SQL,na,Colab Notebooks,laptop,"No, I just found out now.","No, I just browsed through.",Data Science Philippines,Upskill / Skill acquisition,"Answer surveys, Lead a study group, Mentor",You can initiate more online events that are activities focused.,/,Local employer,26
"Cabuyao, Laguna, Philippines ",Philippines,Male,Secondary school student,Datacamp,Manufacturing,Student/ New grad/ Career Break,NONE,. ,,None,.,-,.,None,none,. ,None,not applicable,. , _,none,_,_,-,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL, C","Chatgpt, Copilot, Gemini",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Data and Analytics Manila, Data Science Philippines Discussion Group (Moderated), Philippine Data Scientists Community - eScience","Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"To improve communication in Data Engineering Pilipinas, consider establishing clear and organized communication channels using platforms like Slack or Microsoft Teams, with dedicated spaces for announcements, technical discussions, and casual chats. Regular updates, such as weekly check-ins or asynchronous reporting, can ensure alignment and transparency. Implementing project management tools like Trello or Asana will help track progress and deadlines effectively. Encourage a culture of open feedback, where team members can share ideas and concerns comfortably. Finally, standardizing documentation of processes and tools will promote smoother collaboration, while analyzing communication patterns can provide insights for ongoing improvement.",None,Local employer,35
"Pampanga, Philippines",Philippines,Male,College degree,"Coursera, MicrosoftLearn, Udemy",Non-profit,Career shifter,Work city different from residence,Makati,"15,001 to 25,000",Full-time,100% onsite,Cost Engineer,Data Analyst,4 to 5,Don't know,"Pandas, Power Query",Don't know,Don't know,Power BI,Don't know,,,"Amazon Web Services (AWS), Databricks",,"Excel, MS Teams","DAX (Power BI), M language (Power Query), SQL, VBA","No, I do not use AI currently", ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Eskwelabs Data Science Aral-Aral Group, Project SPARTA","Career advancement, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Regularly post content",. ,Online jobsite,Multinational employer,21
"Binan City, Philippines",Philippines,Male,College degree,Not currently using any digital tools for learning,Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,na,none,,None,none,na,_,none,not applicable,-,/,_,na,. ,na,None,_,_,"Google sheets, Excel, Google Drive, OneDrive, Zoom, Google Meet, Discord","Javascript, SQL","Chatgpt, Claude, Gemini, Mistral",NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Data Science Philippines Discussion Group (Moderated), Philippine Data Scientists Community - eScience","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Joint initiative with other groups, Regularly post content, Volunteer for group initiatives","Encourage people to join in group projects. Assign mentors that can give feedback and suggestions, give the activity a deadline. ", ,Local employer,24
"Bulacan, Philippines",Philippines,LGBTQ+,Master's degree,"LeetCode, Youtube bootcamp","IT, BPO, and Business Services",I'm currently a software engineer want to careershift to data career,Work city same as residence,taguig city,,Freelance,,Software Engineer Front End Dev,I once deployed as BE with basic python knowledge for AI project ,6 to 10,"Aws, Salesforce and etc",I currently have no knowledge in this,I currently have no knowledge in this,"Airflow, Prefect","Power BI, Tableau",. ,"Don't know, None",Collibra,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Snowflake",SAP HANA,"Excel, OneDrive, MS Teams","Python, SQL",Deepseek Coder,Anaconda Notebooks-Jupiter,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Datasense Philippines, Project SPARTA","Career advancement, Decision to shift, Upskill / Skill acquisition, Network",Answer surveys,"If we do not have discord yet, that is one of the best free communications and community apps available.",LinkedIn,Local employer,22
"Taguig, Philippines",Philippines,Female,College degree,Coursera,"IT, BPO, and Business Services",Professional,Work city same as residence,Quezon city,"c.250,001 and above",Full-time,Mostly work from home/ fully remote,Data Scientist,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Machine Learning Engineer, AI Engineer",1 - Just me,,,"AWS Redshift, Snowflake, Hadoop",Don't know,Power BI,,,,,,"Google sheets, Excel, MS Teams","Python, R, SQL",Chatgpt,na,laptop,"No, I just found out now.","Yes, I have used at least one resource.",Power BI Philippines UG,Career advancement,"Joint initiative with other groups, Volunteer for group initiatives",_,"LinkedIn, Jobstreet",Local employer,25
"Manila, Philippines",Philippines,Female,Other - specify,"Datacamp, edX",Not working,Professional,Work city different from residence,Makati,"65,001 to 75,000",Full-time,100% onsite,Data Analyst,Business Analyst,2 to 3,Don't know,Don't know,Don't know,Don't know,,Don't know,,,Microsoft Azure,"MongoDB, PostgreSQL",_,"Python, R, SQL",/,-,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","DataScience.PH, Datasense Philippines, Python Philippines, R User Group - Philippines","Career advancement, Decision to shift","Answer surveys, Connect with sponsors, Coordinate during events, Mentor, Co-training/ Training, Volunteer for group initiatives",. ,My network  - people I know,,26
"Lipa, Philippines",Philippines,Male,Secondary school student,"Cisco, Datacamp, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Career shifter,Work city different from residence,bgc,,Full-time,Not working,Software Engineer,"Software Engineer, Developer",.,,,ssis,Airflow,,"Don't know, None",None,None,Snowflake,PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack","DAX (Power BI), M language (Power Query), R, VBA","Chatgpt, Github copilot, Datalab",/,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Datasense Philippines, R User Group - Philippines","Career advancement, Continued learning, Network","Answer surveys, Connect with sponsors, Co-training/ Training, Volunteer for group initiatives",,My network  - people I know,Local employer,32
Gingoog City,Philippines,Male,College degree,"Udemy, W3Schools",Own Business/ Consultancy/Freelance,Professional,Work city different from residence,Gingoog City,"15,001 to 25,000",Contract fixed timeline,Im a PhD student,Management,"Management, Academic",2 to 3,Random throw away python scripts,Pandas, _,na,.,Postgre,Databand,Dataworld,"Amazon Web Services (AWS), Microsoft Azure, Snowflake, Databricks",not applicable,"Google sheets, Excel, Google Drive, Zoom, Discord","DAX (Power BI), Javascript, M language (Power Query), Typescript",Chatgpt, _,laptop,"No, I just found out now.",/,,Upskill / Skill acquisition,"Answer surveys, Joint initiative with other groups, Regularly post content","Using zoom, discord, and slack",My network  - people I know,Local employer,34
Ilocos Norte,Philippines,Female,College degree,Youtube bootcamp,"IT, BPO, and Business Services",Professional,Work city different from residence,Makati City,"45,001 to 55, 000",Full-time,Mostly work from home/ fully remote,Accounting,Management,11 to 30,Don't know,Pandas,AWS Athena,ZenML,Looker,, ,Atlan,Don't know,,"Excel, OneDrive, MS Teams","Python, Typescript",Chatgpt,_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, DEVCON Community Group, FTW Foundation","Continued learning, Network",Answer surveys, _,Facebook Groups,Multinational employer,29
"Aurora, Philippines",Philippines,Male,Secondary school student,W3Schools,Not working,Student/ New grad/ Career Break,/,none,, _,-,. , ,_,na,-,na,none,.,. ,/,_,na, ,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, R, SQL",Chatgpt,,laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,.,not applicable,Local employer,29
"Paranaque, Philippines",Philippines,Male,College degree,"LinkedIn Learning, Udemy, W3Schools","IT, BPO, and Business Services",Currently Working as  Jr Software engineer,Work city different from residence,Taguig,"35,001 to 45,000",Full-time,Hybrid,Data Analyst,"Data Engineer, Data Analyst, Data Scientist",6 to 10,Don't know,Don't know,Don't know,Don't know,,Don't know,,,,.,"Google sheets, Google Drive, MS Teams, Google Meet","DAX (Power BI), SQL","No, I do not use AI currently", _,desktop,"No, I just found out now.",None,. ,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups",None,"LinkedIn, OnlineJobs.ph",Local employer,28
"Calamba city, Laguna",Philippines,Male,College degree,"Coursera, Datacamp, Khan Academy",Construction,Student/ New grad/ Career Break,NONE,/,,na, _,.,-,.,. ,none,/, _,_,/, ,na,-,/,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Gemini",NONE,workstation,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Analytics Philippines,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Answer surveys,Group will always be better if it's moderated by a lot of people therefore I think one should decide if he/she will add other admins.,na, ,23
"Aleosan, Philippines",Philippines,Male,College degree,"Coursera, Freecodecamp, Khan Academy, Udemy",Advertising,Career shifter,Work city same as residence,"Aleosan, North Cotabato","15,000 and below",Freelance,Mostly work from home/ fully remote,Admin huhu,Data Analyst,1 - Just me,/,"Dataform, Pandas",_,not applicable,Power BI, _, _,None,. ,None,"Google sheets, Excel, Dropbox, Google Drive, Clickup, Zoom, Google Meet, Slack, Discord","Javascript, Python, SQL",Chatgpt,PythonAnywhere Jupyter Notebook,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Datasense Philippines, FWDP","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Lead a study group","Enrolling in STAGE Academy Course, read ""Think Faster, Talk Smarter"" book","LinkedIn, OnlineJobs.ph",Self-employed,26
General Santos City,Philippines,Male,College degree,"Udemy, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City,"55,001 to 65,000",Full-time,Hybrid,Data Engineer,"Data Engineer, Software Engineer, Cloud Architect",2 to 3,,"Pandas, dbt", _,na,Spreadsheet,Don't know,,,,,"Google sheets, Excel, Google Drive, Google Meet, Slack","SQL, C++",Chatgpt,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.",NONE,"Data Analytics Philippines, Data Science Philippines Discussion Group (Moderated)","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Joint initiative with other groups, Resource for specific topic",,Upwork, ,44
Alexandria,Egypt,Prefer not to say,College degree,"Datacamp, Freecodecamp, Udemy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Career shifter,Work city different from residence,Mandaluyong,"45,001 to 55, 000",Full-time,100% onsite,Management,"Management, Business Analyst",2 to 3,,,,,Don't know,"Don't know, None",,,Don't know,,Excel,"DAX (Power BI), M language (Power Query), Python, SQL","Chatgpt, Copilot, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",Data Science Philippines,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Joint initiative with other groups, Regularly post content, Co-training/ Training, Volunteer for group initiatives",none,LinkedIn,Local employer,20
"Quezon City, Philippines",Philippines,Male,College degree,"Coursera, Datacamp",Not working,Professional,Work city different from residence,Taguig City,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,Management,"Data Analyst, mostly dealing with data quality issues, being the middleman between Finance and tech, but no technical skills yet",2 to 3,Talend,"Pandas, dbt, Spark",,"None, ",.,none,na,NONE,"Amazon Web Services (AWS), Snowflake",SAP HANA,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL",Chatgpt,-,laptop,"No, I just found out now.","No, I just browsed through.",. ,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Co-training/ Training",None,My network  - people I know,Local employer,29
"Manila, Philippines",Philippines,Female,College degree,"Coursera, MicrosoftLearn, Udemy",Telecommunication,Student/ New grad/ Career Break,not applicable,_,,not applicable,-,none,NONE,. ,None,-, _,not applicable,/,na,None,not applicable,/,na,_,"DAX (Power BI), M language (Power Query), SQL, VBA","No, I do not use AI currently",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",/,Career advancement,"Answer surveys, Coordinate during events, Volunteer for group initiatives",none,-,Local employer,20
"Taguig, Philippines",Philippines,Female,College degree,"Datacamp, LinkedIn Learning, MicrosoftLearn, Udemy",Not working,Student/ New grad/ Career Break,NONE,. ,,_,none,_,None,.,None,. , _,-,None,_,.,not applicable,none,not applicable,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Discord","M language (Power Query), Python, R","No, I do not use AI currently","Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",. ,NONE,NONE,20
Santa Rosa City,Philippines,Male,,Not currently using any digital tools for learning,Electric Utility,Student/ New grad/ Career Break,. ,_,,None,/,-,-,na,/,none,NONE,_,/,/,not applicable, _, _,.,"Google sheets, Google Drive, Zoom, Discord",Python,"Chatgpt, Gemini",NONE,laptop,"No, I just found out now.","No, I just browsed through.",NONE,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups",na,-,Local employer,25
"Pasig, Philippines",Philippines,Prefer not to say,College degree,"Coursera, Datacamp, Google Analytics, W3Schools",Banking / Finance / Insurance,Career shifter,Work city same as residence,Taguig City,"65,001 to 75,000",Full-time,Hybrid,Data Analyst,"Data Engineer, Data Analyst, Business Analyst",2 to 3,Don't know,,. , , _,,,,-,Oracle Database,"Google sheets, Excel, Google Drive, Zoom, Google Meet","Python, R",Chatgpt,_,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG",Not a member. Not interested to join thr FB group,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",None,Headhunter,Local employer,41
"Caloocan, Philippines",Philippines,LGBTQ+,College degree,Datacamp,Banking / Finance / Insurance,Career shifter,Work city different from residence,bgc,"95,001 to 100,000",Full-time,Hybrid,UI/UX Designer,"Software Engineer, Developer",4 to 5,,,ssis,,,,,,"Amazon Web Services (AWS), Microsoft Azure",PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack","Appscript (Google), Javascript, Python, SQL",,PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Project SPARTA, PyData Philippines, R User Group - Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network",Resource for specific topic,NONE,My network  - people I know,Local employer,30
